*Achimota pararubulavirus 1*,*Paramyxoviridae*,*Pararubulavirus*,Chiroptera,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Achimota pararubulavirus 2*,*Paramyxoviridae*,*Pararubulavirus*,Chiroptera,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Adeno-associated dependoparvovirus B*,*Parvoviridae*,*Dependoparvovirus*,Cetartiodactyla,False,False,"Schmidt M, Katano H, Bossis I, Chiorini JA (2004). Cloning and Characterization of a Bovine Adeno-Associated Virus. _Gene Therapy_, *78*(12), 6509-6516. doi: 10.1128/JVI.78.12.6509.",
*Grivet simian foamy virus*,*Retroviridae*,*Simiispumavirus*,Primates,False,True,"Knipe DM, Howley P (eds.) (2013). _Fields Virology_, Sixth edition. Lippincott Williams \& Wilkins, Philadelphia.",
*African horse sickness virus*,*Reoviridae*,*Orbivirus*,Perissodactyla,True,False,"Mellor PS, Hamblin C (2004). African Horse Sickness. _Veterinary Research_, *35*(4), 445-466. ISSN 09284249, doi: 10.1051/vetres:2004021.","Mellor PS, Hamblin C (2004). African Horse Sickness. _Veterinary Research_, *35*(4), 445-466. ISSN 09284249, doi: 10.1051/vetres:2004021."
*African swine fever virus*,*Asfarviridae*,*Asfivirus*,Cetartiodactyla,True,False,"Costard S, Mur L, Lubroth J, Sanchez-Vizcaino JM, Pfeiffer DU (2013). Epidemiology of African Swine Fever Virus. _Virus Research_, *173*(1), 191-197. ISSN 01681702, doi: 10.1016/j.virusres.2012.10.030.","Costard S, Mur L, Lubroth J, Sanchez-Vizcaino JM, Pfeiffer DU (2013). Epidemiology of African Swine Fever Virus. _Virus Research_, *173*(1), 191-197. ISSN 01681702, doi: 10.1016/j.virusres.2012.10.030."
*Aichivirus A*,*Picornaviridae*,*Kobuvirus*,Carnivora,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Akabane orthobunyavirus*,*Peribunyaviridae*,*Orthobunyavirus*,Cetartiodactyla,True,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.","Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072."
*Alagoas vesiculovirus*,*Rhabdoviridae*,*Vesiculovirus*,Cetartiodactyla,True,True,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.","Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072."
*Alcelaphine gammaherpesvirus 1*,*Herpesviridae*,*Macavirus*,Cetartiodactyla,False,False,"Knipe DM, Howley P (eds.) (2013). _Fields Virology_, Sixth edition. Lippincott Williams \& Wilkins, Philadelphia.

Heuschele WP, Oosterhuis J, Anderson MP, Swansen M, Fletcher HR (1984). Malignant Catarrhal Fever in Wild Ruminants. In Ryder OA, Byrd ML (eds.), _One Medicine_, 296-308. Springer, Berlin, Heidelberg. ISBN 978-3-642-61749-2.

O'Toole D, Li H (2014). The Pathology of Malignant Catarrhal Fever, With an Emphasis on Ovine Herpesvirus 2. _Veterinary Pathology_, *51*(2), 437-452. ISSN 03009858, doi: 10.1177/0300985813520435.",
*Alcelaphine gammaherpesvirus 2*,*Herpesviridae*,*Macavirus*,Cetartiodactyla,False,False,"O'Toole D, Li H (2014). The Pathology of Malignant Catarrhal Fever, With an Emphasis on Ovine Herpesvirus 2. _Veterinary Pathology_, *51*(2), 437-452. ISSN 03009858, doi: 10.1177/0300985813520435.",
*Allpahuayo mammarenavirus*,*Arenaviridae*,*Mammarenavirus*,Rodentia,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Alphacoronavirus 1*,*Coronaviridae*,*Alphacoronavirus*,Carnivora,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Alphapapillomavirus 12*,*Papillomaviridae*,*Alphapapillomavirus*,Primates,False,False,"Knipe DM, Howley P (eds.) (2013). _Fields Virology_, Sixth edition. Lippincott Williams \& Wilkins, Philadelphia.

Bernard HU, Burk RD, Chen Z, van Doorslaer K, zur Hausen H, de Villiers EM (2010). Classification of Papillomaviruses (PVs) Based on 189 PV Types and Proposal of Taxonomic Amendments. _Virology_, *401*(1), 70-79. ISSN 00426822, doi: 10.1016/j.virol.2010.02.002.",
*Serra do Navio mammarenavirus*,*Arenaviridae*,*Mammarenavirus*,Rodentia,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*American bat vesiculovirus*,*Rhabdoviridae*,*Vesiculovirus*,Chiroptera,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.","Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072."
*Andes orthohantavirus*,*Hantaviridae*,*Orthohantavirus*,Rodentia,False,True,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Apoi virus*,*Flaviviridae*,*Flavivirus*,Rodentia,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Aquamavirus A*,*Picornaviridae*,*Aquamavirus*,Carnivora,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Aravan lyssavirus*,*Rhabdoviridae*,*Lyssavirus*,Chiroptera,False,True,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Aroa virus*,*Flaviviridae*,*Flavivirus*,Rodentia,True,True,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.","Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072."
*Ateline alphaherpesvirus 1*,*Herpesviridae*,*Simplexvirus*,Primates,False,False,"Davison AJ, Eberle R, Ehlers B, Hayward GS, McGeoch DJ, Minson AC, Pellett PE, Roizman B, Studdert MJ, Thiry E (2009). The Order Herpesvirales. _Archives of Virology_, *154*(1), 171-177. ISSN 03048608, doi: 10.1007/s00705-008-0278-4.",
*Ateline gammaherpesvirus 2*,*Herpesviridae*,*Rhadinovirus*,Primates,False,False,"Davison AJ, Eberle R, Ehlers B, Hayward GS, McGeoch DJ, Minson AC, Pellett PE, Roizman B, Studdert MJ, Thiry E (2009). The Order Herpesvirales. _Archives of Virology_, *154*(1), 171-177. ISSN 03048608, doi: 10.1007/s00705-008-0278-4.

Fleckenstein B, Desrosiers RC (1982). Herpesvirus Saimiri and Herpesvirus Ateles. In Roizman B (ed.), _The Herpesviruses_, series The Viruses, 253-332. Springer, Boston. ISBN 978-1-4684-4163-5.",
*Avastrovirus 1*,*Astroviridae*,*Avastrovirus*,Galliformes,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Avastrovirus 2*,*Astroviridae*,*Avastrovirus*,Galliformes,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Avastrovirus 3*,*Astroviridae*,*Avastrovirus*,Anseriformes,False,False,"Babayan SA, Orton RJ, Streicker DG (2018). Predicting Reservoir Hosts and Arthropod Vectors from Evolutionary Signatures in RNA Virus Genomes. _Science_, *362*(6414), 577-580. ISSN 0036-8075, doi: 10.1126/science.aap9072.",
*Avian orthoavulavirus 1*,*Paramyxoviridae*,*Orthoavulavirus*,Galliformes,False,True,"Gogoi P, Ganar K, Kumar S (2017). Avian Paramyxovirus: A Brief Review. _Transboundary and Emerging Diseases_, *64*(1), 53-67. ISSN 18651674, doi: 10.1111/tbed.12355.",
*Avian paraavulavirus 3*,*Paramyxoviridae*,*Paraavulavirus*,Galliformes,False,False,"Gogoi P, Ganar K, Kumar S (2017). Avian Paramyxovirus: A Brief Review. _Transboundary and Emerging Diseases_, *64*(1), 53-67. ISSN 18651674, doi: 10.1111/tbed.12355.",
*Avian paraavulavirus 4*,*Paramyxoviridae*,*Paraavulavirus*,Anseriformes,False,False,"Gogoi P, Ganar K, Kumar S (2017). Avian Paramyxovirus: A Brief Review. _Transboundary and Emerging Diseases_, *64*(1), 53-67. ISSN 18651674, doi: 10.1111/tbed.12355.",
*Avian metaavulavirus 6*,*Paramyxoviridae*,*Metaavulavirus*,Anseriformes,False,False,"Gogoi P, Ganar K, Kumar S (2017). Avian Paramyxovirus: A Brief Review. _Transboundary and Emerging Diseases_, *64*(1), 53-67. ISSN 18651674, doi: 10.1111/tbed.12355.",
*Avian metaavulavirus 7*,*Paramyxoviridae*,*Metaavulavirus*,Galliformes,False,False,"Gogoi P, Ganar K, Kumar S (2017). Avian Paramyxovirus: A Brief Review. _Transboundary and Emerging Diseases_, *64*(1), 53-67. ISSN 18651674, doi: 10.1111/tbed.12355.",
*Avian metaavulavirus 8*,*Paramyxoviridae*,*Metaavulavirus*,Anseriformes,False,False,"Gogoi P, Ganar K, Kumar S (2017). Avian Paramyxovirus: A Brief Review. _Transboundary and Emerging Diseases_, *64*(1), 53-67. ISSN 18651674, doi: 10.1111/tbed.12355.",
*Avian coronavirus*,*Coronaviridae*,*Gammacoronavirus*,Galliformes,False,False,"Cavanagh D (2007). Coronavirus Avian Infectious Bronchitis Virus. _Veterinary Research_, *38*(2), 281-297. ISSN 0928-4249, 1297-9716, doi: 10.1051/vetres:2006055.",
*Avian metapneumovirus*,*Pneumoviridae*,*Metapneumovirus*,Galliformes,False,False,"Njenga M, Lwamba HM, Seal BS (2003). Metapneumoviruses in Birds and Humans. _Virus Research_, *91*(2), 163-169. ISSN 01681702, doi: 10.1016/S0168-1702(02)00256-3.",
*Avihepatovirus A*,*Picornaviridae*,*Avihepatovirus*,Anseriformes,False,False,"Pattison M, McMullin P, Bradbury JM, Alexander D (eds.) (2007). _Poultry Diseases_. Elsevier Health Sciences. ISBN 978-0-7020-2862-5.",
